epoch	dice_coef	loss	val_dice_coef	val_loss
1	0.29829494934529066	0.4007161801511591	0.2727659727845873	0.6399867960384914
2	0.3077540842461444	0.3581893131846473	0.1675797211272376	0.4578861083303179
3	0.3492548540234566	0.32773216962814333	0.15743867307901382	0.5759647190570831
4	0.3414881524037231	0.3164124841039831	0.1810083304132734	0.7427715914590018
0	0.3542210998989287	0.3049341028644925	0.17230486124753952	0.5580111891031265
1	0.3395232128955069	0.31307784574372427	0.19236335158348083	0.7219801374844143
2	0.35290958484013873	0.2815780582882109	0.1494775733777455	0.45628092118671965
0	0.2361993661948613	0.6377250651518503	0.2940030172467232	0.692066878080368
1	0.2968080739180247	0.4494571401959374	0.3821880987712315	0.6917342373303005
2	0.25286599284126643	0.4293181300163269	0.24282639367239817	0.6896550740514483
3	0.3142111045973642	0.3737049301465352	0.29353172332048416	0.6895862519741058
4	0.26797136735348476	0.35907409872327534	0.38157560569899424	0.6902286921228681
0	0.32440482541209176	0.3583887269099553	0.29329530894756317	0.6883658766746521
1	0.33814182026045664	0.34174271140779766	0.38124657954488483	0.6894305092947823
2	0.327691831049465	0.29591288453056697	0.2424232576574598	0.685707117830004
3	0.3214711167595603	0.3397621756250208	0.2929309606552124	0.6864913403987885
4	0.2974934058263898	0.32638592049479487	0.38072676743779865	0.6881764275687081
0	0.22593915356057032	0.5761716450963702	0.2940019518136978	0.6920556426048279
1	0.28020308415095013	0.45449375822430566	0.3821579984256199	0.6916545714650836
2	0.2732095779343085	0.3945598737760024	0.24280057208878653	0.6894127300807408
3	0.2937208518385887	0.36630188673734665	0.2934817224740982	0.6893440186977386
4	0.2814252701672641	0.3308213028040799	0.381499992949622	0.6900404180799212
5	0.34248420046198935	0.3108914153916495	0.24254006573132106	0.6868442467280796
6	0.26471760477870704	0.3629485987126827	0.29312901943922043	0.6875023543834686
7	0.31974107162518933	0.2898479117588563	0.3810082716601236	0.6888435653277806
8	0.30973100252449515	0.30625080689787865	0.2423374993460519	0.684876024723053
9	0.34710497476837854	0.3042464703321457	0.2928142622113228	0.6858956813812256
